IP,Latitude,Longitude,PostCode,City,State,Country,Size
1.120.0.1,-30.5083,151.6712,2350.0,Armidale,NSW,AU,4075
1.120.2.1,-37.8833,145.3333,3786.0,Ferny Creek,VIC,AU,1137
1.120.8.1,-32.243,148.6048,2830.0,Dubbo,NSW,AU,7443
1.120.32.1,-37.8141,144.963,,Melbourne,VIC,AU,10369
1.120.96.1,-27.4891,153.0188,4101.0,Brisbane,QLD,AU,14674
1.120.97.1,-27.4482,153.0134,4059.0,Brisbane,QLD,AU,12115
1.120.98.1,-27.4935,153.0763,4152.0,Camp Hill,QLD,AU,13599
1.120.99.1,-27.5975,152.7475,4305.0,Brassall,QLD,AU,18133
1.120.100.1,-27.5202,153.0278,4102.0,Brisbane,QLD,AU,13176
1.120.101.1,-26.8067,152.961,4550.0,Mount Mellum,QLD,AU,11627
1.120.102.1,-27.5976,153.077,4113.0,Runcorn,QLD,AU,15603
1.120.103.1,-27.8833,153.3,4209.0,Upper Coomera,QLD,AU,16272
1.120.105.1,-27.6498,153.1775,4128.0,Shailer Park,QLD,AU,13974
1.120.106.1,-26.5283,153.0881,4573.0,Coolum Beach,QLD,AU,8943
1.120.107.1,-27.4732,153.0215,4000.0,Brisbane,QLD,AU,6880
1.120.108.1,-27.1088,152.9491,4506.0,Morayfield,QLD,AU,1850
1.120.110.1,-27.4932,153.0583,4151.0,Coorparoo,QLD,AU,13532
1.120.111.1,-27.5575,153.2648,4164.0,Thornlands,QLD,AU,9908
1.120.112.1,-31.0905,150.929,2340.0,Tamworth,NSW,AU,4816
1.120.113.1,-32.892,151.7053,2308.0,Callaghan,NSW,AU,12088
1.120.114.1,-32.907,151.6053,2285.0,Cameron Park,NSW,AU,18125
1.120.128.1,-27.4104,153.0111,4053.0,Stafford,QLD,AU,14821
1.120.129.1,-27.4155,152.9766,4053.0,Brisbane,QLD,AU,16694
1.120.130.1,-27.7,153.2,4129.0,Loganholme,QLD,AU,4952
1.120.131.1,-27.8833,153.1333,4270.0,Tamborine Mountain,QLD,AU,10044
1.120.133.1,-27.4432,153.0302,4006.0,Brisbane,QLD,AU,4219
1.120.136.1,-27.6833,153.25,4130.0,Carbrook,QLD,AU,6350
1.120.138.1,-28.0833,153.3667,4213.0,Upper Mudgeeraba,QLD,AU,18693
1.120.140.1,-27.4704,153.0031,4064.0,Brisbane,QLD,AU,5266
1.120.141.1,-26.731,152.9977,4554.0,Ilkley,QLD,AU,2224
1.120.142.1,-27.5123,153.0325,4103.0,Brisbane,QLD,AU,12119
1.120.144.1,-27.5833,153.3117,4165.0,Victoria Point,QLD,AU,15124
1.120.147.1,-28.1545,153.3092,4213.0,Bonogin,QLD,AU,16187
1.120.151.1,-27.5,152.9,4069.0,Brisbane,QLD,AU,8886
1.120.154.1,-28.0215,153.3664,4211.0,Carrara,QLD,AU,4090
1.120.155.1,-27.4189,153.0582,4011.0,Clayfield,QLD,AU,15951
1.120.156.1,-19.3366,146.7836,4813.0,Townsville,QLD,AU,14478
1.120.158.1,-27.6081,151.7545,4350.0,Toowoomba,QLD,AU,17232
1.120.159.1,-27.3981,152.958,4054.0,Arana Hills,QLD,AU,2427
1.120.160.1,-27.5026,152.9501,4069.0,Chapel Hill,QLD,AU,6837
1.120.161.1,-27.7,153.15,4133.0,Waterford,QLD,AU,15119
1.120.162.1,-27.5133,152.9752,4068.0,Chelmer,QLD,AU,9833
1.120.163.1,-21.0405,149.1849,4740.0,Dolphin Heads,QLD,AU,13303
1.120.166.1,-27.9553,153.3991,4215.0,Southport,QLD,AU,18963
1.120.167.1,-24.0855,151.6282,,Rodds Bay,QLD,AU,9493
1.120.168.1,-26.7179,153.0547,4556.0,Sippy Downs,QLD,AU,8263
1.120.169.1,-27.4833,153.0,4101.0,West End,QLD,AU,12480
1.120.170.1,-16.923,145.7663,4870.0,Cairns,QLD,AU,17375
1.120.176.1,-21.1667,149.1,4740.0,Mackay,QLD,AU,2508
1.120.184.1,-26.6535,153.1012,4558.0,Maroochydore,QLD,AU,9072
1.121.0.1,-27.5006,153.035,,Woolloongabba,QLD,AU,17170
1.121.17.1,-26.656,153.092,,Sunshine Coast,,AU,2063
1.121.97.1,-27.5649,153.0665,4109.0,Sunnybank,QLD,AU,14138
1.121.100.1,-26.5333,152.95,4561.0,Ninderry,QLD,AU,13143
1.121.103.1,-26.7007,152.9935,4555.0,Palmwoods,QLD,AU,7094
1.121.105.1,-27.1611,152.9594,4505.0,Burpengary,QLD,AU,5737
1.121.107.1,-27.2435,153.0238,4509.0,North Lakes,QLD,AU,11557
1.121.109.1,-27.481,153.04399999999998,4169.0,Kangaroo Point,QLD,AU,13962
1.121.110.1,-27.5167,153.25,4160.0,Wellington Point,QLD,AU,5668
1.121.111.1,-26.8588,152.9614,4519.0,Beerwah,QLD,AU,4192
1.121.112.1,-26.7817,153.1165,4551.0,Caloundra,QLD,AU,5040
1.121.114.1,-27.4616,153.0751,4170.0,Morningside,QLD,AU,2710
1.121.117.1,-27.5,153.1167,4153.0,Belmont,QLD,AU,2496
1.121.118.1,-27.5662,152.7784,4306.0,Chuwar,QLD,AU,16967
1.121.122.1,-27.6233,153.0479,4116.0,Stretton,QLD,AU,7030
1.121.123.1,-27.6208,153.0058,4110.0,Pallara,QLD,AU,18606
1.121.125.1,-27.3456,152.8718,4520.0,Yugar,QLD,AU,4355
1.121.126.1,-27.9788,153.4266,4217.0,Main Beach,QLD,AU,10329
1.121.127.1,-27.4833,153.2167,4159.0,Birkdale,QLD,AU,10027
1.121.128.1,-27.6605,152.879,4300.0,Brookwater,QLD,AU,19927
1.121.129.1,-27.4478,153.1317,4174.0,Hemmant,QLD,AU,13929
1.121.131.1,-27.5167,153.1833,4157.0,Capalaba,QLD,AU,12141
1.121.136.1,-27.5344,153.0246,4105.0,Moorooka,QLD,AU,2611
1.121.140.1,-27.5262,153.0605,4121.0,Brisbane,QLD,AU,6124
1.121.141.1,-26.3989,152.8756,4563.0,Cooroy Mountain,QLD,AU,3382
1.121.144.1,-27.4724,153.0947,4170.0,Norman Park,QLD,AU,6272
1.121.146.1,-26.5845,153.0947,4564.0,Mudjimba,QLD,AU,1515
1.121.149.1,-27.8667,152.9833,4285.0,Cedar Grove,QLD,AU,19045
1.121.150.1,-26.7844,153.0922,4551.0,Little Mountain,QLD,AU,12105
1.121.152.1,-27.4765,152.9966,4066.0,Brisbane,QLD,AU,14150
1.121.154.1,-28.1407,153.45,4223.0,Currumbin,QLD,AU,17032
1.121.156.1,-24.8542,152.2352,4670.0,Bundaberg,QLD,AU,15583
1.121.157.1,-28.1124,153.3964,4227.0,Varsity Lakes,QLD,AU,18888
1.121.159.1,-25.3,152.8333,4655.0,Pialba,QLD,AU,17235
1.121.160.1,-27.6633,153.0038,4118.0,Forestdale,QLD,AU,9807
1.121.163.1,-27.7833,153.2667,4208.0,Ormeau,QLD,AU,15387
1.121.165.1,-27.3397,153.0292,4018.0,Fitzgibbon,QLD,AU,8267
1.121.167.1,-27.4455,152.99200000000002,4060.0,Ashgrove,QLD,AU,3594
1.121.169.1,-27.5393,153.099,4122.0,Brisbane,QLD,AU,1318
1.121.176.1,-42.9833,147.1,7109.0,Grove,TAS,AU,3681
1.121.192.1,-27.9833,153.1667,4275.0,Canungra,QLD,AU,8995
1.121.200.1,-38.1462,145.9406,3820.0,Warragul,VIC,AU,3569
1.121.204.1,-37.7333,144.8,3021.0,Saint Albans,VIC,AU,7901
1.122.0.1,-34.9286,138.6,,Adelaide,SA,AU,3485
1.122.1.1,-31.953000000000003,115.857,,Perth,WA,AU,19511
1.122.23.1,-33.8675,151.207,,Sydney,NSW,AU,16142
1.122.32.1,-31.9344,115.8716,6050.0,Mount Lawley,WA,AU,3391
1.122.33.1,-32.05,115.7667,6160.0,Fremantle,WA,AU,6021
1.122.34.1,-31.9674,115.8621,6000.0,Perth,WA,AU,10874
1.122.35.1,-31.9344,115.7617,6015.0,City Beach,WA,AU,9745
1.122.38.1,-31.7813,115.9896,6069.0,Ellenbrook,WA,AU,16584
1.122.45.1,-31.8276,115.865,6064.0,Marangaroo,WA,AU,19410
1.122.46.1,-31.9386,115.7921,6014.0,Wembley,WA,AU,15290
1.122.47.1,-31.8406,115.8955,6066.0,Ballajura,WA,AU,19017
1.122.48.1,-31.8882,115.8719,6059.0,Dianella,WA,AU,14416
1.122.50.1,-31.9035,115.909,6062.0,Morley,WA,AU,10446
1.122.51.1,-32.1066,115.959,6110.0,Southern River,WA,AU,18336
1.122.53.1,-32.05,115.9833,6109.0,Maddington,WA,AU,13370
1.122.55.1,-32.0332,115.8126,6154.0,Myaree,WA,AU,14779
1.122.56.1,-31.875,115.8284,6021.0,Balcatta,WA,AU,11727
1.122.58.1,-31.8733,115.899,6062.0,Noranda,WA,AU,16310
1.122.59.1,-32.058,115.9181,6155.0,Canning Vale,WA,AU,6589
1.122.60.1,-32.3289,115.8305,6171.0,Baldivis,WA,AU,2398
1.122.61.1,-31.7325,115.7977,6065.0,Tapping,WA,AU,8059
1.122.62.1,-31.931,115.8949,6051.0,Maylands,WA,AU,13245
1.122.63.1,-31.6304,115.6864,6038.0,Alkimos,WA,AU,7266
1.122.67.1,-31.9587,115.8711,6004.0,Perth,WA,AU,3153
1.122.68.1,-31.9397,115.8701,6003.0,Highgate,WA,AU,17911
1.122.69.1,-32.06,115.955,6108.0,Thornlie,WA,AU,4913
1.122.70.1,-31.902,115.8455,6060.0,Perth,WA,AU,9080
1.122.72.1,-31.855,115.8399,6061.0,Westminster,WA,AU,12474
1.122.73.1,-32.081,116.0054,6110.0,Gosnells,WA,AU,2924
1.122.78.1,-32.0525,115.8878,6155.0,Willetton,WA,AU,7237
1.122.85.1,-32.221,116.009,6122.0,Byford,WA,AU,10347
1.122.95.1,-31.8273,115.9742,6055.0,Henley Brook,WA,AU,12709
1.122.96.1,-31.8958,115.7643,6019.0,Scarborough,WA,AU,7845
